24	26	A1
27	27	A2
28	32	A2.1
33	36	A2.2
37	40	A2.3
41	44	A3
45	45	A4
46	47	A4.1
48	50	A4.2
51	59	A4.3
60	60	A4.4
61	61	A5
62	62	A5.1
63	67	A5.2
68	74	A5.3
75	76	A5.4
77	82	A5.5
83	84	A6
85	86	A6.1
87	88	A6.2
89	89	A7
90	91	A7.1
92	111	A7.2
112	113	A8
115	122	B1
123	125	B2
126	145	B3
146	146	B4
147	147	B4.1
148	148	B4.3
149	151	B4.3.1
152	154	B4.3.2
155	157	B4.3.3
158	160	B4.3.4
161	162	B4.3.6
163	166	B4.3.7
167	168	B4.3.8
169	173	B4.3.9
174	174	B4.3.11
175	178	B4.3.12
179	180	B4.3.13
181	186	B4.3.14
187	189	B4.3.16
190	192	B4.3.17
193	195	B4.3.18
196	198	B4.3.19
199	206	B4.3.21
207	208	B4.3.22
209	225	B4.4
226	226	B5
227	227	B5.1
228	228	B5.3
229	230	B5.3.1
231	232	B5.3.2
233	233	B5.3.3
234	235	B5.3.4
236	237	B5.3.5
238	239	B5.3.6
240	241	B5.3.7
242	243	B5.3.8
244	244	B5.3.9
245	246	B5.3.10
247	251	B5.4
252	252	B6
253	253	B6.1
254	254	B6.3
255	256	B6.3.1
257	257	B6.3.2
258	259	B6.3.3
260	260	B6.3.4
261	261	B6.3.5
262	262	B6.3.6
263	263	B6.3.7
264	264	B6.3.8
265	266	B6.4
268	280	C1
281	282	C2
285	286	D1.1
287	293	D1.2
294	297	D1.3
298	300	D1.4
301	302	D1.5
303	304	D1.6
305	306	D1.7
307	309	D2
310	313	E1
